,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
0,private,2020-09-03,,ELEC,1517,1999-10-15,LG,E,LADWP - Truesdale Center,2020-09-03T19:35:48Z,UTILITY,GPS,Sun Valley,CA,11797 Truesdale St,91352,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,40.0,Non-Networked,,,,,,,,,,,-118.3879713743439,34.2483191527193
1,private,2020-01-13,,ELEC,1520,2011-08-01,T,E,Southern California Edison - Rosemead Office Building 1,2020-07-20T18:42:03Z,UTILITY,200-9,Rosemead,CA,2244 Walnut Grove Ave,91770,US,"['J1772', 'NEMA520']",,22.0,22.0,Greenlots,http://greenlots.com/,,,,,,,,,,-118.081014,34.050745
2,public,2020-11-09,,ELEC,1523,1995-08-30,P,E,Los Angeles Convention Center,2020-11-09T16:53:32Z,PARKING_GARAGE,GPS,Los Angeles,CA,1201 S Figueroa St,90015,US,['J1772'],,,12.0,Non-Networked,,,,,,,,,,,-118.271387,34.040539
3,private,2020-11-09,,ELEC,1525,1999-10-15,LG,E,LADWP - John Ferraro Building,2020-11-09T16:53:32Z,UTILITY,GPS,Los Angeles,CA,111 N Hope St,90012,US,['J1772'],,,275.0,Non-Networked,,,,,,,,,,,-118.248589,34.059133
4,public,2019-05-09,,ELEC,1526,1995-08-15,P,E,Cherokee & Hollywood Parking Garage,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,Los Angeles,CA,1718 N Cherokee Ave,90028,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-118.334758,34.102404
5,private,2020-09-03,,ELEC,1531,2018-05-01,LG,E,LADWP - Haynes Power Plant,2020-09-03T19:35:48Z,UTILITY,GPS,Long Beach,CA,6801 E 2nd St,90803,US,['J1772'],,,9.0,Non-Networked,,,,,,,,,,,-118.096665,33.759802
6,private,2020-10-09,,ELEC,1533,1996-10-15,SG,E,State Capitol Parking Garage,2020-10-09T12:41:43Z,PARKING_GARAGE,200-8,Sacramento,CA,1303 10th St,95814,US,['J1772'],,,9.0,Non-Networked,,1 LP Inductive  1 SP Inductive  1 Avcon Conductive  1 Other Conductive,,,,,,,,,-121.495022,38.576769
7,private,2020-09-03,,ELEC,1552,1999-10-15,LG,E,LADWP - Harbor Generating Station,2020-09-03T19:35:48Z,UTILITY,200-8,Wilmington,CA,161 N Island Ave,90744,US,['J1772'],,,10.0,Non-Networked,,,,,,,,,,,-118.265628,33.770508
8,private,2020-09-03,,ELEC,1556,2016-01-01,LG,E,LADWP - Sylmar West,2020-09-03T19:35:48Z,UTILITY,200-8,Sylmar,CA,13201 Sepulveda Blvd,91342,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.480505,34.30309
9,private,2020-09-03,,ELEC,1572,1999-10-15,LG,E,LADWP - EV Service Center,2020-09-03T19:35:48Z,UTILITY,200-8,Los Angeles,CA,1630 N Main St,90012,US,"['CHADEMO', 'J1772']",1.0,,46.0,Non-Networked,,,,,,,,,,,-118.227605,34.066801
